id,Case Number,Date,Year,Type,Country,Area,Location,Fatal,original_order,Latitude,Longitude
2555,1991.12.04,04--Dec--91,1991,Unprovoked,USA,California,"Shelter Cover, north of Fort Bragg, Shelter Cove, Mendocino County",N,3731,39.4381,-123.796
2556,1991.11.26.b,26--Nov--91,1991,Unprovoked,USA,Hawaii,"Olowalu, Maui",Y,3730,20.8147,-156.625
2557,1991.11.26.a,26--Nov--91,1991,Unprovoked,USA,Hawaii,"Olowalu, Maui",N,3729,20.8147,-156.625
2558,1991.11.19,19--Nov--91,1991,Unprovoked,USA,Hawaii,"Maliko Point, Maui",Y,3728,20.9377,-156.34
2559,1991.11.14,14--Nov--91,1991,Provoked,USA,Florida,Near Port Canaveral Coast Guard Base,N,3727,28.4155,-80.6214
2560,1991.10.12,12--Oct--91,1991,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",N,3725,28.0683,-80.5603
2561,1991.10.05,05--Oct--91,1991,Unprovoked,USA,California,"Horseshoe Reef, Scott Creek, Davenport, Santa Cruz County",N,3724,37.0382,-122.229
2562,1991.08.26,26--Aug--91,1991,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",N,3720,33.6803,-78.9001
2563,1991.08.12,12--Aug--91,1991,Unprovoked,USA,Florida,"Vero Beach, Indian River County",N,3719,27.6386,-80.3973
2564,1991.08.09,09--Aug--91,1991,Provoked,USA,Florida,Florida Bay,N,3718,30.1698,-85.7029
2565,1991.07.27,27--Jul--91,1991,Unprovoked,USA,Florida,"John Pennekamp Marine Park, Monroe County",N,3716,25.1249,-80.4042
2566,1991.07.18,18--Jul--91,1991,Unprovoked,USA,Florida,150 miles from Crystal River,N,3715,28.9025,-82.5926
2567,1991.07.07,07--Jul--91,1991,Unprovoked,USA,Florida,"South Miami Beach, Dade County",N,3714,25.7826,-80.1341
2568,1991.07.01.a,01--Jul--91,1991,Unprovoked,USA,California,"8.5 miles south of Ano Nuevo State Reserve, Davenport County",N,3712,37.1193,-122.308
2569,1991.07.00,Jul--91,1991,Unprovoked,USA,Virginia,"Croatan Beach, Virginia Beach, ",N,3711,36.828,-75.9686
2570,1991.06.26,26--Jun--91,1991,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",N,3708,30.2841,-81.3961
2571,1991.06.07.b,07--Jun--91,1991,Unprovoked,USA,Florida,"Tampa Bay, Hillsborough County",N,3707,27.9759,-82.5033
2606,1989.09.03,03--Sep--89,1989,Provoked,USA,California,24 km off Santa Catalina Island in the Channel Islands,N,3637,33.3429,-118.325
2607,1989.08.22.b,22--Aug--89,1989,Unprovoked,USA,Florida,"St Augustine, St Johns County",N,3635,29.9012,-81.3124
